fecha,categoria,zona,ticket_promedio,edad_cliente,ingreso_anual
2025-01-01,Alimentos,Sur,206.4604979381203,54,42202.876311430366
2025-01-02,Hogar,Centro,77.23101171345859,21,18086.52640934436
2025-01-04,Bebidas,Sur,50.0,27,26065.362026142302
2025-01-04,Bebidas,Centro,50.0,43,33948.26363972758
2025-01-05,Hogar,Sur,50.0,31,20184.15401140148
2025-01-05,Bebidas,Sur,113.37422531836805,57,43018.52748201508
2025-01-05,Bebidas,Sur,147.41977473073106,29,35098.2001275059
2025-01-06,Alimentos,Sur,51.795642665073665,18,15000.0
2025-01-06,Alimentos,Centro,228.13560221696616,66,43950.12538793997
2025-01-07,Hogar,Norte,50.0,22,15000.0
2025-01-07,Bebidas,Sur,198.94650173130498,35,25190.00177086255
2025-01-07,Alimentos,Centro,58.54808270802455,30,35400.92612643722
2025-01-07,Alimentos,Sur,108.36015795332875,54,36460.620581085015
2025-01-07,Bebidas,Centro,75.70893970294149,42,44949.072600203544
2025-01-07,Hogar,Centro,55.356481127702466,49,39521.574803106974
2025-01-08,Bebidas,Centro,108.93554864048039,31,23379.35406347795
2025-01-08,Hogar,Centro,84.45042707840565,32,18206.077268595232
2025-01-09,Hogar,Sur,233.02153592530988,51,41457.26067878125
2025-01-09,Alimentos,Norte,231.89720700236174,65,42480.21632984122
2025-01-10,Bebidas,Norte,189.9084200558734,57,48293.24491460892
2025-01-10,Hogar,Sur,50.0,65,43181.772655761924
2025-01-10,Bebidas,Sur,50.0,23,15000.0
2025-01-10,Hogar,Norte,209.2297637292628,61,54811.27085658221
2025-01-10,Electrónica,Norte,262.41250040092433,56,49612.373669991226
2025-01-11,Alimentos,Sur,206.75183006953037,42,17457.917437975528
2025-01-11,Hogar,Centro,307.38281258005185,55,59021.55569826096
2025-01-11,Alimentos,Sur,233.96531985038362,54,51663.529150230504
2025-01-12,Bebidas,Sur,202.230288157024,54,38629.24872875127
2025-01-12,Bebidas,Centro,194.53114023097538,57,41849.72551077401
2025-01-12,Bebidas,Centro,131.48941427156012,20,15000.0
2025-01-13,Bebidas,Centro,50.0,35,18432.862796029516
2025-01-13,Electrónica,Centro,50.0,43,29633.167479428375
2025-01-14,Hogar,Norte,145.4531887394819,36,38573.05748972657
2025-01-14,Hogar,Norte,232.88393235256672,45,42598.13460717409
2025-01-14,Alimentos,Norte,50.0,33,25393.603425501627
2025-01-14,Electrónica,Sur,170.43853145053612,67,65166.06693726022
2025-01-14,Bebidas,Centro,96.57695646925804,54,37221.72287617186
2025-01-15,Electrónica,Centro,159.54729492604523,47,38439.26111105217
2025-01-15,Hogar,Centro,50.0,21,15000.0
2025-01-15,Bebidas,Norte,186.7293165381791,57,51583.358665649626
2025-01-16,Bebidas,Sur,60.865687965066144,63,50739.897835067466
2025-01-17,Hogar,Centro,116.2288259448095,24,23405.044670173465
2025-01-17,Hogar,Centro,134.55805902719334,50,41432.21396176164
2025-01-17,Electrónica,Sur,201.03400112908258,50,34509.52613741574
2025-01-18,Alimentos,Norte,151.63462022437167,53,45557.005330129876
2025-01-18,Hogar,Centro,50.0,23,15000.0
2025-01-19,Bebidas,Sur,160.43264200086185,44,47372.316651285015
2025-01-19,Bebidas,Norte,96.38028666731526,37,29265.483135534803
2025-01-19,Hogar,Norte,143.4610792903905,41,36726.877325902504
2025-01-19,Bebidas,Sur,122.96901313335135,18,15000.0
2025-01-20,Electrónica,Centro,228.97152444377122,31,38506.14349330269
2025-01-20,Bebidas,Sur,197.6260522486616,69,64668.77249441167
2025-01-20,Hogar,Norte,50.0,20,18705.980328715905
2025-01-21,Hogar,Norte,164.09366863289551,51,42938.06023658846
2025-01-21,Alimentos,Norte,59.78115213984625,22,15000.0
2025-01-22,Alimentos,Sur,263.8498684221449,53,41792.36040382234
2025-01-23,Bebidas,Norte,309.5234782385377,63,60387.288388548994
2025-01-23,Electrónica,Norte,178.4129785398612,63,50763.939294824864
2025-01-23,Hogar,Centro,170.4730846538999,55,38890.10372264375
2025-01-23,Alimentos,Norte,222.7712496568556,65,57735.53199822415
2025-01-25,Alimentos,Centro,256.01126853726777,57,48898.86030031033
2025-01-25,Bebidas,Sur,163.13530525486703,51,44231.296030469086
2025-01-25,Electrónica,Sur,284.1586699631303,28,39869.49289537888
2025-01-25,Alimentos,Norte,288.77869300194453,69,51423.45263251254
2025-01-25,Bebidas,Centro,99.58788163371896,47,34694.47635429131
2025-01-26,Electrónica,Centro,88.94909674768323,43,34076.98832485612
2025-01-26,Hogar,Norte,201.96601673687448,46,32329.04639658763
2025-01-26,Bebidas,Centro,102.6250867444253,45,40883.69087715835
2025-01-26,Bebidas,Centro,50.0,29,22311.19415655998
2025-01-26,Bebidas,Centro,170.44230662231755,37,35830.462206875236
2025-01-27,Bebidas,Norte,316.6957576147201,60,51858.68697435209
2025-01-27,Hogar,Centro,108.45428233945853,59,40493.434424615356
2025-01-27,Hogar,Sur,125.04061615293097,22,20424.253452726167
2025-01-28,Hogar,Sur,126.26015948862161,61,44829.28284435898
2025-01-28,Alimentos,Centro,157.39506950311443,33,19441.186979039914
2025-01-29,Hogar,Centro,120.59037529331495,36,24525.756797582682
2025-01-29,Bebidas,Norte,50.0,52,26820.951263937473
2025-01-29,Bebidas,Norte,82.13396675453549,38,29345.802558735424
2025-01-29,Hogar,Norte,103.71536341370206,62,47479.21614686207
2025-01-30,Electrónica,Norte,50.0,39,38067.0297344437
2025-01-31,Bebidas,Sur,74.99389376841444,38,19152.01495228033
2025-02-01,Bebidas,Norte,196.2865884694893,50,42636.728196437994
2025-02-01,Alimentos,Sur,242.2660287159609,44,48328.01162251729
2025-02-02,Electrónica,Sur,333.48775188348816,59,56179.66421057716
2025-02-02,Hogar,Centro,288.3944078366487,24,26765.785713093952
2025-02-04,Alimentos,Sur,164.43799563313007,29,35049.38912724898
2025-02-04,Bebidas,Sur,52.10251233141915,30,23905.769415135383
2025-02-04,Bebidas,Norte,246.99972152186564,63,60661.19058970487
2025-02-04,Alimentos,Norte,451.7358450686456,63,73942.24184875452
2025-02-06,Electrónica,Centro,151.8373933601521,25,17559.556853076396
2025-02-06,Hogar,Centro,50.0,33,17867.636047095315
2025-02-06,Alimentos,Centro,113.54832731801169,20,19410.460450993887
2025-02-07,Electrónica,Norte,319.3887177487134,60,52007.39248922611
2025-02-07,Hogar,Sur,243.68173678931407,51,36223.84439447443
2025-02-07,Bebidas,Norte,50.0,49,44499.92406411965
2025-02-08,Bebidas,Sur,91.06773140279459,24,20742.510950808402
2025-02-09,Bebidas,Norte,486.89140680802905,64,56995.75040457423
2025-02-09,Alimentos,Sur,183.41611570158216,34,36236.11650270657
2025-02-09,Electrónica,Sur,50.0,18,19189.23594297175
2025-02-09,Alimentos,Sur,126.09515939551044,53,46330.89298968262
2025-02-10,Hogar,Norte,141.00411367505308,32,25324.73792498437
2025-02-10,Electrónica,Centro,50.0,31,15000.0
2025-02-11,Bebidas,Sur,109.45113451816061,28,34622.831650837354
2025-02-11,Bebidas,Sur,202.48369355881715,50,28275.97153745959
2025-02-11,Electrónica,Sur,149.5884262242063,63,57596.53088997064
2025-02-12,Electrónica,Sur,300.90007348036113,53,49188.00928759087
2025-02-13,Electrónica,Centro,167.07327464013105,21,16600.872081092293
2025-02-13,Alimentos,Sur,131.3157454537029,56,45601.59317610514
